id,prompt,ai_gemini_pro_sota
4,"[ WP ] The Government and Media have been lying and North Korea is actually a super advanced , peaceful Utopia . You 're an American who just crashed landed a boat in North Korea .","The salt spray stung my eyes as I dragged my broken body over the jagged rocks. My sailboat, *The Drifter*, was nothing more than splinters bobbing in the violent surf"
2,"[ WP ] Concerned family members stage an intervention for their alcoholic father/husband/brother/whatever , not realizing that alcohol is the only way he can keep an elder demon bound within his body","The cheap rye whiskey burned going down, but the burn was the point. It was the only thing that made the chains hold.

Elias stumbled into the living room, clutching the dented flask"
7,"[ WP ] A Man finally lands on mars , he finds human skeletal remains , and quickly realizes that in the past long long ago human 's lived on mars only to explore earth as they depleted the resources on mars ."," Commander Elias Thorne took the first step onto the Chryse Planitia, the crunch of regolith under his boot vibrating up his shin. It was the culmination of a century of dreaming, fifty years of engineering, and an eight-month voyage through the void.

""Surface"
19,[ WP ] Write a dystopia that turns into a utopia .,"For three centuries, the City of Oakhaven was not made of oak, but of lead, concrete, and recycled air. We lived in the Gray. The Algorithm dictated our caloric intake, our sleep cycles, and our professions. To deviate was to endanger the Hive; to complain was to be ""recalibrated."""
23,[ WP ] Write a dystopia that turns into a utopia .,"For generations, the collars were heavy. They were matte black, fitted snug against the larynx, designed to detect and neutralize any vocalization above a whisper. The Authority claimed it was for our survival. They taught us that history was a graveyard of disagreements, that war was born of raised voices, and that peace could only exist in the Silence.

Elara walked the steel-grid streets of Sector 7, head down. The city was a"
28,"[ WP ] It 's true that vampires need to be invited in to enter a house . Unfortunately , most people have welcome mats .",The Old Laws
33,[ IP ] A warm day in the town of undead,The sun hung over the valley of Oakhaven like a judgment. For the
43,[ WP ] Tell the story of a recently released mental patient rambling to his cat .,"""The colors are wrong, Barnaby. That’s the first thing you notice. They’re too loud.""

Arthur sat cross-legged on the frayed rug, his posture rigid, watching the orange tabby meticulously groom a paw. The apartment smelled of stale dust and closed windows, a stark contrast to the antiseptic sting of the ward he’d"
41,"[ WP ] After 146 years , it is revealed that American Football is as fake as WWE .",The PDF dropped at 3:42 AM on a Tuesday. It wasn’t a hacker collective or a foreign government that leaked it; it was a disgruntled intern in the
42,[ PI ] You 're the lone survivor of a zombie apocalypse simply because zombies are n't interested in you .,The smell is the worst part. You’d think I’
51,"[ WP ] You wake up in the middle of nowhere with no memory of anything , not even your name . The only thing you have is another person there with you , in the same situation . You ca n't help but feel like you know them .","The silence was heavy, a physical weight pressing against my eardrums. I opened my eyes to a sky that wasn't"
55,"[ WP ] In the canine world , humans are celestial beings who live for more than 500 years at a time . The caretaker of you and the past seven generations of your family will die soon .","The scent of the room is wrong. It smells of antiseptic, dust, and the slow, sour fade of a star burning out.

I rest"
58,[ WP ] Only the rich can afford to see the stars at night .,"The sky didn’t have a color anymore; it had a sponsor.

Down in Sector 4, the night was a suffocating blanket of neon sludge. If you looked up, you didn't see the void. You saw a three-hundred-foot holographic woman drinking *Sapphire Cola*, followed by a rolling ticker tape of stock prices and government warnings. The light pollution wasn't an accident; it was an infrastructure. Darkness was dead"
71,[ WP ] Ten years ago a race of shapeshifting aliens attempted to infiltrate and take over the world . They were all rooted out and killed . All except you .,"The trick wasn’t to replace the powerful. It was to replace the invisible.

"
72,"[ WP ] Describe the Labyrinth , a place so deep underground the air is toxic .",The air down here doesn’t just smell; it has a texture. It creates a greasy film on the glass of my visor
97,[ WP ] You and your Arch Nemesis are forced to save the world together .,"""I hate you,"" I gritted out, wiping blood from my"
100,[ WP ] Everyone in the world wakes up a virgin again,"The silence that morning was different. It wasn’t the quiet of a sleeping city, but the heavy, suspended breath of a world simultaneously holding a secret.

Elias woke up feeling fifty years younger, at least in specific, localized ways. He sat up in the bed he had shared with Martha since 1974. The joints in his knees still popped, and his back still ached, but there was a strange, pristine sensation of *un-happ"
102,[ WP ] Mario shows up to a party full of video game characters and no one knows who he is .,"The invitation was heavy, embossed with gold leaf, and simply read: *Legends Only.*

Mario adjusted his cap, smoothed the front of his denim overalls, and pushed open the double doors of the Valhalla Lounge"
117,"[ WP ] Aliens have come to Earth , not to invade , but to take us home .",The sky didn’t burn. That was the first surprise.
116,[ IP ] The Source,"The hum was the first thing Elara felt—a vibration that didn't just rattle her teeth, but seemed to resonate in the marrow of her bones.

She had descended past the Rust Layers, through the tangled roots of the mega-city"
120,[ WP ] Two people tumble into the abyss .,"The ground didn’t crack; it dissolved. One moment, Silas and I were standing on the precipice of the Old World, watching the entropy storms eat the horizon, and the next, the cliffside simply decided it no longer wanted to be solid matter.

We fell.

It wasn’t the flailing, wind-milling panic of a skydiver. It was a surrender. The gravity here was heavy, tasting of iron and ozone. I reached out, my fingers clawing through the rushing air, and miraculously, I found his wrist. He found mine. We locked forearms, a human chain"
121,"[ WP ] After having grown up in outer space , you come back to your original home planet .","Gravity was not a warm embrace; it was a jealous lover refusing to let go.

On the *Station*, movement was a suggestion—a gentle push off a bulkhead, a drift, a grab. Here, inside the shuttle, movement was a negotiation. My blood felt like molten lead pooling in my ankles, and my chest"
124,[ WP ] Everyone in the world has magic with various levels of mastery over it . You are extremely powerful with almost no control so you find a demon that 's very weak but extremely good at controlling his powers .,My sneeze once leveled a city block
133,[ WP ] Two friends search for food in the post apocalypse but instead find something else .,"The hunger was a physical weight, a heavy stone dragging in the pit of Miller’s stomach. Beside him, Silas moved with the quiet, predatory efficiency of a man who had forgotten what it was like to be full.

""Check the back,"" Silas rasped, his voice dry as the dust coating the ruined cityscape. ""Storefronts are picked clean. But the stockrooms... sometimes people forgot.""

They were in what used to be the arts district, a skeleton"
134,[ WP ] Your character wakes up and discovers his house has been inexplicably moved overnight .,"Arthur Pendergast was a man of rigid geography. His world consisted of the frantic merge onto I-95, the fluorescent hum of the accounting firm on 4th Street, and the manicured silence of the cul-de-sac where he slept.

So, when he woke up at 6:45 AM on a Tuesday,"
139,"[ WP ] Most of the Milky Way galaxy is ruled by an interstellar empire , populated by hundreds of alien races . The species of the ruling monarch keeps changing ; once they die , the emperor is reborn as a member of one of the many races . You 're the first human-reincarnation of this ruler .","The transition was usually a violent tear in the fabric of consciousness, a scream of stars stretching across lightyears. This time, however, it felt like falling into a pile of wet leaves.

I gasped, the air rushing into lungs that felt frighteningly small. My last lungs had been the size of fusion thrusters, encased in the diamond-hard carapace of a Hrogolith. Now, I felt... soft. Vulnerable. My heart hammered against a ribcage that seemed made of twigs.

""The Ascendant awakens!"" a voice bo"
