Topic ID,Semantic Label,Sample Size,Top 8 Representative Keywords
0,Interpersonal Drama (Realism),320,"his, the, of, he, dragon, and, to, in"
1,High Fantasy (Epic),310,"their, the, we, they, of, earth, and, to"
2,AI Artifact (The 'Elara' Trope),233,"elara, her, she, the, of, with, in, and"
3,Cyberpunk / Tech,162,"the, of, to, was, and, it, that, in"
4,War / Conflict,140,"his, the, of, he, and, to, war, enemy"
5,Existential / Mortality,137,"you, do, to, he, it, and, his, said"
6,Romance / Character Focus,111,"writing, story, to, that, it, your, prompt, my"
7,Superpowers / Abilities,104,"she, her, you, to, and, my, the, sarah"
8,Sci-Fi / Space Opera,90,"power, my, to, could, the, it, powers, was"
9,Meta-Fiction / Breaking 4th Wall,88,"death, of, my, immortality, the, to, and, life"
